,lyrics,title,album,,,
,"I had a soul transplant operation 
Coz my bypass didn't function 
So now I'm keeping on my toes 
'Til I see your one man show 

Show me magic 
Show me magic 
Show me magic 
Show me mad 

Wouldn't it be nice to know 
What the paper doesn't show 
What the TV doesn't say 
And what my hamster's ate today? 

Show me magic 
Show me magic 
Show me magic 
Show me mad 

God! Show me magic 
God! Show me magic 
God! Show me magic 
God! Show me mad 

Show me magic 
Show me magic 
Show me magic 
Show me magic",God! How me magic,Fuzzy Logic,,,
,"[Bunf:] 
Hamster, turnin' round in your wheel 
I've got something to tell you: 
I can harness your feel 
Dynamo for electricity 
You empower my feelings 
Give me light for me to see 

[Stavros:] 
So won't you give me some food? 
I really need to get some energy in me 
Give me some 
I really need to get some energy in me 
Give me some 
The world is turning, kicking, screaming 'round my little head 
To spread it on my bread 
Don't you know that I spread it on my bread? 

[Bunf:] 
Rest yourself you've been long on your feet 
If I buy you a matchbox 
Will you keep it all neat? 
Radiate, you're no flash in the pan 
You're the battery incarnate 
I'm an innocent man 

[Stavros:] 
So won't you give me some food? 
I really need to get some energy in me 
Give me some 
I really need to get some energy in me 
Give me some 
The world is turning, kicking, screaming 'round my little head 
To spread it on my bread 
Don't you know that I spread it on my bread?",Fuzzy Birds,Fuzzy Logic,,,
,"First time, I did it for the hell of it 
Stuck it on the back of my tongue 
And then swallowed it 
Second time, things are getting easier 
Blow me down this wind is getting breezier 
Third time lucky, made me feel fuzzy 
Oh my God, we're getting hippy-dippy 
Five, six, seven, man I'm in heaven 
And I'm growing my beard 
Before it gets sheared 

You're on my mind 
Every day and every night 
And you'll never go away 
Coz I know you're here to stay 
For the rest of my mind (X2) 

First time, I did it for the hell of it 
Stuck it right up 
And that was the end of it 
Second time, things are getting easier 
Hairs on the back of my neck are getting stickier 
Third time unlucky, perversely bloody 
Doctor I'm ill please pass me the brandy 
Five, six, seven I heard George Foreman say: 
Slow horses loose 
Fast women frighten 
You're on my mind 
Every day and every night 
And you'll never go away 
Coz I know you're here to stay 
For the rest of my mind 
For the rest of my mind
I just keep repeating myself 
I just keep repeating myself
I just keep repeating myself I just keep repeating myself I just keep repeating myself I just keep repeating myself Aaaah yeah, coz you're on my mind 
Every day and every night 
And you'll never go away 
Coz I know you're here to stay 
For the rest of my mind 
On my mind 
Every day and every night 
And you'll never go away 
Coz I know you're here to stay 
For the rest of my mind 
On my mind 
Every day and every night 
And you'll never go away 
Coz I know you're here to stay 
For the rest of my mind ",Something 4 the weekend,Fuzzy Logic,,,
,"Locked in a sorry dream 
You know we're drowning in designer ice cream 
I scream: This is the present but it's no surprise 
Then I realise 
(To see you, to see you, to see you) 
What I see I spies 
(Nice to see you, to see you, to see you) 
The past was eagle eyed 
(To see you, nice to see you, to see you, to see you) 
The future's pixelised 
(To see you, nice to see you, to see you, to see you, to see you) 

I had my frisbee sharpened and honed 
I had it galvanised and chromed 
Decapitate and bury your toys 
My frisbee brings the noise 
(To see you, to see you, to see you) 
What I see I spies 
(Nice to see you, to see you, to see you) 
The past was eagle eyed 
(To see you, nice to see you, to see you, to see you) 
The future's pixelised 
(To see you, nice to see you, to see you, to see you, to see you) 

To see you, to see you, to see you, nice to see you 
(Wipe your windscreen with a chocolate cake) 
To see you, to see you, to see you, nice to see you 
(Count your pizzas before they bake) 
To see you, to see you, to see you, nice to see you 
(Wipe your windscreen with a chocolate cake) 
To see you, to see you, to see you 
(Count your pizzas before they bake) 
To see you, to see you, to see you, nice to see you 
(Wipe your windscreen with a chocolate cake) 
To see you, to see you, to see you, nice to see you 
(Count your pizzas before they bake) 
To see you, to see you, to see you 
(Wipe your windscreen with a chocolate cake) 
To see you, to see you, to see you, nice to see you 
(Wipe your windscreen with a chocolate cake) 
",Frisbee,Fuzzy Logic,,,
,"I was lost 
Lost on the bypass road 
Could be worse 
I could be turned to toad 
Won't you take me back to my hometown? 
Take me back before I break down 

I say you please return me 
Will you ever return me? 
Will you ever return me? 
Just like Frankie Fontaine 
Just like Frankie Fontaine
I wonder what can I do? 

I was found 
Riding a unicorn 
Could be worse 
I could be backwards born 
Won't you take me back to my hometown? 
Take me back before I break down 

Will you ever return me? 
Will you ever return me? 
Will you ever return me? 
Just like Frankie Fontaine 

I say you please return me 
Will you ever return me? 
Will you ever return me? 
Just like Frankie Fontaine 

I wonder what can I do? 

Calm down and then leave me alone Calm down and then leave me alone Calm down and then leave me alone Calm down and then leave me alone 

I say you please return me 
Will you ever return me? 
Will you ever return me? 
Just like Frankie Fontaine Just like Frankie Fontaine

I wonder what can I do?",Hometown Unicorm,Fuzzy Logic,,,
,"Lost capacity 
For infinity 
You and me are idly 
Gathering moss 

Fields of industry 
Death by misery 
You and I are idly 
You and me are idly 
Gathering moss 

False security 
Faked insanity 
You and I united by 
Itemised bills 

Kills my sympathy 
Builds my agony 
You and me are idly 
You and I are idly 
Gathering moss 

But when you see me 
I'll be idly sweeping 
The dust away 
(Dust away) 
Look here comes the shore again 
And we'll aim there to be merry 
You and I are idly 
You and I are idly 

You and me 
Gathering moss 
You and me 
Gathering moss 
You and me are idly",Gathering Moss,Fuzzy Logic,,,
,"If you don't want me to destroy you 
Take a leaf out of my book: 
Turn it 'round and have a look 

Because I don't want you to destroy me 
I'll commit myself to be 
In and out of every tree 

Gravity 
You just hold me down so quietly 
You just hold me back 

When the insects fly all around you 
Do you reach and aim a hit? 
Or do you lie around a bit? 

And when the animals gather 'round you 
Do you ask them for the time? 
Or do you run away and whine? 

Gravity 
You just hold me down so quietly 
You just hold me back 

Gravity 
You just hold me down so quietly 
You just pull me down to Earth 

Let me go into the depths of your infinity 
I can sense your presence in the vicinity 

La la la, la la la, sha la la la la La la la, la la la, sha la la la la La la la, la la la, sha la la la la La la la, la la la, sha la la la la La la la, la la la, sha la la la la La la la, la la la, sha la la la la La la la, la la la, sha la la la la La la la, la la la, sha la la la la La la la, la la la, sha la la la la ",If you don't want me to destroy you ,Fuzzy Logic,,,
,"Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour 

Bad behaviour 
Was my saviour 
Makin' mischief 
Used to make my day 
Subsequently 
Accidentally 
I put my fist 
Through a windowpane! 

Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour

I remember 
Once I had a brain 
Amnesia 
Never crossed my mind 
Tonsillitis 
Was my alibi 
Truancy was 
My vocation! 

Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour 

Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour Bad! Bad! Bad! Bad! Behaviour ",Bad Behaviour,Fuzzy Logic,,,
,"The blim holes in my shell suit 
Joined into an absolute 
And fell apart one day 

They stitched me up in Everton 
Then they took me to a surgeon: 
Lost on penalties 

Do do do do do do do do do do do do 
Mario man Mario man Mario man Mario man 

I married at the altar 
The village idiots daughter 
Oh! Lucky me 

We honeymooned in Cyprus 
That's where she caught the virus 
I flew home alone 

So I bought myself a chip pan 
And I sailed it to the Isle of Man 
For a holiday 

Struggling in a vortex 
With my jacket made of Gore-tex 
It fits wonderfully 

Do do do do do do do do do do do do 
Mario man Mario man Mario man Mario man 

Zap! Zap! 
Wham! Wham! 
Says the Mario man today 
(He's played so hard he's got blisters on his fingers) 

Do do do do do do do do do do do do 
Mario man Mario man Mario man Mario man",Mario Man,Fuzzy Logic,,,
,"You and me 
And the guy from the Sparks 
Hanging out with Howard Marks 

We're the three musketeers yeah 
Gather round with your beers yeah 
There's no need for the fears 

Throw a penny into my plastic satellite dish 
And make a wish 
I wish you farewell 
Buy buy! Sell sell! 
I bid you goodbye 
Sell sell! Sky-high! Sell sell! 
Oooh oooh oooh oooh 

A big fax 
And a portion of lies 
Washed down with a dire choke 

Pass the mic to your lover 
Turn around and find another 
Pass the buck to your brother 

Throw a penny into my plastic satellite dish 
And make a wish 
I bid you farewell 
Buy buy! Sell sell! 
I bid you goodbye 
Sell sell! Sky-high! Sell sell! 
Oooh oooh oooh oooh",Hangin with Howard Marks,Fuzzy Logic,,,
